epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,14741.3,1.45017,1.23966,0.02407,0.89564,0.86691,0.92774,0.53838,1.46189,0.79309,0.02932,0.0012872,0.0012872,0.0012872
110,14874.2,1.43141,1.18696,0.02394,0.91456,0.86506,0.92138,0.49483,1.57917,0.83177,0.03212,0.0012806,0.0012806,0.0012806
111,15009.2,1.3934,1.13563,0.02293,0.91264,0.85859,0.90872,0.48787,1.60602,0.82537,0.03484,0.001274,0.001274,0.001274
112,15141.2,1.3839,1.17138,0.0233,0.91823,0.79404,0.90984,0.55112,1.44653,0.81782,0.02974,0.0012674,0.0012674,0.0012674
113,15272.7,1.42199,1.0948,0.02307,0.9524,0.80837,0.92684,0.52135,1.54794,0.74353,0.03054,0.0012608,0.0012608,0.0012608
114,15406,1.41341,1.09631,0.0233,0.92939,0.82828,0.91195,0.53287,1.55166,0.7829,0.03064,0.0012542,0.0012542,0.0012542
115,15535.6,1.42193,1.08199,0.02385,0.90437,0.82828,0.92015,0.52635,1.61706,0.72777,0.0331,0.0012476,0.0012476,0.0012476
116,15666.9,1.40038,1.13644,0.02244,0.85088,0.88889,0.92284,0.47195,1.80288,0.68812,0.0377,0.001241,0.001241,0.001241
117,15798.8,1.37929,1.09078,0.02249,0.91119,0.86869,0.92568,0.50643,1.57659,0.70277,0.03219,0.0012344,0.0012344,0.0012344
118,15928.6,1.34999,1.1149,0.02204,0.88888,0.84848,0.92116,0.51958,1.5126,0.72658,0.02947,0.0012278,0.0012278,0.0012278
119,16058.4,1.43411,1.12694,0.02444,0.95858,0.77778,0.88293,0.46796,1.68169,0.9036,0.0341,0.0012212,0.0012212,0.0012212
120,16192.2,1.39751,1.08875,0.02335,0.86704,0.83838,0.92488,0.53553,1.44133,0.73381,0.02833,0.0012146,0.0012146,0.0012146
121,16323.7,1.37495,1.11519,0.02189,0.88099,0.82254,0.89899,0.49794,1.6598,0.84558,0.03323,0.001208,0.001208,0.001208
122,16457.2,1.40017,1.09338,0.02282,0.93467,0.81818,0.91781,0.53482,1.58597,0.80069,0.03121,0.0012014,0.0012014,0.0012014
123,16591.5,1.39005,1.12902,0.02408,0.91686,0.83838,0.92721,0.5469,1.53284,0.69854,0.03012,0.0011948,0.0011948,0.0011948
124,16724.3,1.39294,1.0784,0.02294,0.89106,0.86869,0.90438,0.48522,1.5739,0.7579,0.03343,0.0011882,0.0011882,0.0011882
125,16856.9,1.37718,1.1194,0.02292,0.86105,0.79798,0.87363,0.49703,1.44435,0.88694,0.02949,0.0011816,0.0011816,0.0011816
126,16987.3,1.38269,1.07628,0.02256,0.92379,0.85859,0.88906,0.50502,1.61228,0.74781,0.03362,0.001175,0.001175,0.001175
127,17118.7,1.40621,1.08562,0.02332,0.94251,0.82793,0.90525,0.5346,1.52536,0.73216,0.03203,0.0011684,0.0011684,0.0011684
128,17248,1.40965,1.10585,0.02261,0.89547,0.86531,0.89952,0.54382,1.50076,0.73312,0.03129,0.0011618,0.0011618,0.0011618
129,17377.8,1.41377,1.12788,0.02348,0.90217,0.84848,0.90757,0.52558,1.59197,0.72998,0.03242,0.0011552,0.0011552,0.0011552
130,17508.7,1.39128,1.09052,0.02121,0.90732,0.82828,0.93857,0.52121,1.5195,0.66482,0.03094,0.0011486,0.0011486,0.0011486
131,17640.2,1.39748,1.08806,0.0234,0.88348,0.86869,0.90091,0.49488,1.5856,0.90552,0.0329,0.001142,0.001142,0.001142
132,17771.5,1.41285,1.05604,0.02286,0.9182,0.86869,0.9196,0.53096,1.55789,0.84529,0.03028,0.0011354,0.0011354,0.0011354
133,17906.8,1.38121,1.05645,0.02311,0.91434,0.8626,0.94265,0.54683,1.46613,0.70351,0.0274,0.0011288,0.0011288,0.0011288
134,18041.2,1.37268,1.02222,0.02316,0.91651,0.90909,0.92461,0.47943,1.66203,0.68081,0.0326,0.0011222,0.0011222,0.0011222
135,18177.4,1.38527,1.14944,0.02344,0.90785,0.83838,0.92006,0.45536,1.76814,0.71074,0.03483,0.0011156,0.0011156,0.0011156
136,18310.2,1.37566,1.12623,0.0223,0.94087,0.82828,0.9496,0.53001,1.46672,0.69709,0.02875,0.001109,0.001109,0.001109
137,18442.5,1.36771,1.07669,0.02201,0.91796,0.90421,0.9435,0.47934,1.66431,0.62197,0.0337,0.0011024,0.0011024,0.0011024
138,18576.4,1.40191,1.05318,0.02329,0.92267,0.84368,0.93596,0.55036,1.49199,0.55456,0.02905,0.0010958,0.0010958,0.0010958
139,18708,1.33789,1.01724,0.02165,0.95901,0.83838,0.93948,0.57103,1.51741,0.62453,0.03084,0.0010892,0.0010892,0.0010892
