epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,26963.5,0.64863,0.60681,1.11936,0.76152,0.73757,0.79786,0.60176,0.86332,1.09833,1.23637,0.000866375,0.000866375,0.000866375
95,27257.4,0.64596,0.59498,1.12332,0.77989,0.81465,0.83892,0.64736,0.851,0.94123,1.2214,0.00086225,0.00086225,0.00086225
96,27544.7,0.64288,0.55745,1.1269,0.77215,0.83396,0.85366,0.6636,0.847,0.92999,1.21168,0.000858125,0.000858125,0.000858125
97,27832.7,0.62584,0.56504,1.10132,0.8086,0.79087,0.82975,0.6387,0.84614,0.99693,1.20796,0.000854,0.000854,0.000854
98,28122.1,0.62911,0.57111,1.0955,0.78703,0.84385,0.86038,0.67344,0.83458,0.94513,1.21993,0.000849875,0.000849875,0.000849875
99,28410.4,0.63177,0.55677,1.10877,0.80799,0.83735,0.8655,0.6767,0.83984,0.8235,1.20352,0.00084575,0.00084575,0.00084575
100,28698,0.6275,0.57367,1.10325,0.8167,0.84686,0.86579,0.67041,0.82668,0.9144,1.19008,0.000841625,0.000841625,0.000841625
101,28985.5,0.61218,0.56906,1.0955,0.84429,0.81695,0.87043,0.66631,0.85421,0.90735,1.23792,0.0008375,0.0008375,0.0008375
102,29272.8,0.61999,0.55734,1.10058,0.78689,0.84636,0.85956,0.65952,0.85169,0.96984,1.21421,0.000833375,0.000833375,0.000833375
103,29560.6,0.60773,0.55232,1.08986,0.77496,0.80179,0.83067,0.63663,0.88022,1.10968,1.26406,0.00082925,0.00082925,0.00082925
104,29848.1,0.59343,0.53312,1.07721,0.80705,0.79212,0.82911,0.62765,0.88766,1.08688,1.27837,0.000825125,0.000825125,0.000825125
105,30136.1,0.60098,0.53533,1.08177,0.8216,0.81917,0.83439,0.63746,0.8702,1.12004,1.25558,0.000821,0.000821,0.000821
106,30425.2,0.60125,0.53894,1.08667,0.85612,0.8149,0.88163,0.67483,0.8649,0.98502,1.22944,0.000816875,0.000816875,0.000816875
107,30713.6,0.59873,0.53745,1.08214,0.80559,0.83557,0.86493,0.66542,0.87304,1.02227,1.26434,0.00081275,0.00081275,0.00081275
108,31000.4,0.59863,0.53368,1.08266,0.78711,0.80711,0.84495,0.63889,0.88103,0.90115,1.27162,0.000808625,0.000808625,0.000808625
109,31285.5,0.61107,0.53405,1.0929,0.74456,0.82062,0.81453,0.62252,0.86924,1.08788,1.26984,0.0008045,0.0008045,0.0008045
110,31570.9,0.59001,0.54702,1.08241,0.78784,0.80066,0.8177,0.642,0.86912,1.08538,1.23779,0.000800375,0.000800375,0.000800375
111,31854.1,0.59239,0.51146,1.08075,0.81975,0.77213,0.84871,0.65077,0.88362,1.03549,1.26684,0.00079625,0.00079625,0.00079625
112,32137.2,0.58707,0.52033,1.07189,0.79418,0.78595,0.80825,0.61183,0.91482,1.10164,1.29669,0.000792125,0.000792125,0.000792125
113,32419.9,0.58997,0.51815,1.07418,0.77687,0.77444,0.81485,0.61595,0.89186,1.26746,1.26648,0.000788,0.000788,0.000788
114,32702.4,0.57814,0.52701,1.07372,0.84065,0.8235,0.86426,0.65474,0.89021,1.03614,1.28984,0.000783875,0.000783875,0.000783875
115,32986.4,0.5747,0.51273,1.07267,0.81349,0.84767,0.86473,0.67081,0.8737,1.06472,1.27784,0.00077975,0.00077975,0.00077975
116,33276.2,0.56972,0.50905,1.06117,0.82214,0.77812,0.83019,0.62896,0.9181,1.28873,1.31126,0.000775625,0.000775625,0.000775625
117,33563.8,0.57062,0.50502,1.06574,0.81677,0.79704,0.84692,0.64222,0.91018,1.04255,1.3063,0.0007715,0.0007715,0.0007715
118,33848.5,0.57308,0.51432,1.06425,0.81004,0.77399,0.82714,0.63471,0.88238,1.24437,1.26006,0.000767375,0.000767375,0.000767375
119,34134.6,0.57096,0.49436,1.06183,0.83478,0.83756,0.87706,0.66455,0.88126,1.00356,1.29318,0.00076325,0.00076325,0.00076325
120,34418.5,0.56689,0.49426,1.0669,0.82927,0.80542,0.86753,0.66899,0.88572,1.04881,1.29054,0.000759125,0.000759125,0.000759125
121,34701.5,0.5599,0.4902,1.05835,0.81875,0.82484,0.84511,0.64766,0.88928,1.11299,1.2953,0.000755,0.000755,0.000755
122,34984.1,0.55499,0.48773,1.06111,0.83919,0.82852,0.87239,0.65942,0.87016,0.89518,1.25581,0.000750875,0.000750875,0.000750875
123,35267.4,0.56398,0.47972,1.06049,0.82145,0.84266,0.8637,0.65569,0.87857,1.05685,1.30234,0.00074675,0.00074675,0.00074675
124,35550.7,0.57065,0.50533,1.06816,0.83959,0.8101,0.86389,0.65505,0.90367,0.98628,1.28962,0.000742625,0.000742625,0.000742625
125,35843,0.56432,0.48857,1.07071,0.83916,0.79311,0.8647,0.65791,0.89401,1.01012,1.30066,0.0007385,0.0007385,0.0007385
126,36131.1,0.55115,0.46735,1.0462,0.79027,0.82655,0.84577,0.6407,0.90288,1.14148,1.33298,0.000734375,0.000734375,0.000734375
127,36419.2,0.54968,0.47197,1.05255,0.82022,0.8387,0.84868,0.65444,0.86473,0.9748,1.28553,0.00073025,0.00073025,0.00073025
128,36707.8,0.55628,0.47826,1.05836,0.84825,0.83408,0.8785,0.67787,0.86971,0.88776,1.24863,0.000726125,0.000726125,0.000726125
129,36995.9,0.55364,0.47116,1.05046,0.82028,0.8381,0.86207,0.66009,0.85965,0.89645,1.26801,0.000722,0.000722,0.000722
130,37284.6,0.53996,0.47036,1.04257,0.81348,0.78318,0.8222,0.62271,0.88801,1.17282,1.30487,0.000717875,0.000717875,0.000717875
131,37572.4,0.53549,0.46198,1.05007,0.80931,0.81052,0.82999,0.64118,0.87661,1.03066,1.29215,0.00071375,0.00071375,0.00071375
132,37860,0.54547,0.47471,1.05537,0.80706,0.79561,0.83906,0.64786,0.87745,0.98193,1.24646,0.000709625,0.000709625,0.000709625
133,38147.8,0.53156,0.43683,1.03975,0.81759,0.81155,0.86564,0.65454,0.89949,0.90207,1.33281,0.0007055,0.0007055,0.0007055
134,38434.8,0.53895,0.44847,1.04934,0.81408,0.82616,0.86281,0.65474,0.90189,0.95453,1.34104,0.000701375,0.000701375,0.000701375
135,38722,0.53502,0.43933,1.04255,0.84987,0.81315,0.88043,0.67536,0.88056,0.92223,1.30207,0.00069725,0.00069725,0.00069725
136,39012.2,0.5051,0.4393,1.02487,0.85168,0.8365,0.87861,0.67856,0.86663,0.84659,1.26743,0.000693125,0.000693125,0.000693125
137,39300.3,0.51489,0.45021,1.0232,0.84691,0.78596,0.84135,0.64379,0.87095,0.92493,1.29928,0.000689,0.000689,0.000689
138,39585.3,0.53055,0.45,1.02895,0.81127,0.79526,0.81694,0.62296,0.88064,0.97969,1.31412,0.000684875,0.000684875,0.000684875
139,39868.9,0.51909,0.44365,1.0334,0.82375,0.81629,0.84428,0.65192,0.88442,0.98003,1.28281,0.00068075,0.00068075,0.00068075
140,40152.3,0.50692,0.43508,1.02252,0.81781,0.8243,0.83272,0.64634,0.86721,0.99408,1.26158,0.000676625,0.000676625,0.000676625
141,40435.7,0.50533,0.44464,1.02044,0.80331,0.81345,0.84632,0.65178,0.88479,1.08263,1.30935,0.0006725,0.0006725,0.0006725
142,40717.4,0.5208,0.43216,1.03369,0.81855,0.81047,0.8493,0.64938,0.87044,1.23992,1.28513,0.000668375,0.000668375,0.000668375
143,40998.1,0.51133,0.42689,1.03006,0.80448,0.82907,0.86257,0.66548,0.86844,0.93498,1.26816,0.00066425,0.00066425,0.00066425
144,41283.3,0.50856,0.4285,1.01276,0.8019,0.85316,0.85411,0.65981,0.88549,1.01235,1.2707,0.000660125,0.000660125,0.000660125
145,41570.8,0.49927,0.42335,1.01391,0.81192,0.81888,0.84395,0.64438,0.88047,0.97431,1.2937,0.000656,0.000656,0.000656
