epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,32087.3,0.4582,0.34128,0.01225,0.81195,0.78466,0.80476,0.61032,0.86141,1.48729,0.02234,0.00269813,0.000899375,0.00269813,0.000899375,0.00269813,0.000899375,0.00269813,0.000899375
87,32431.6,0.46128,0.35813,0.01212,0.84364,0.83205,0.85537,0.64533,0.8833,0.95001,0.02313,0.00268575,0.00089525,0.00268575,0.00089525,0.00268575,0.00089525,0.00268575,0.00089525
88,32765.2,0.4717,0.34083,0.01276,0.80014,0.81256,0.82081,0.61795,0.87773,1.03117,0.02332,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125
89,33105.1,0.46188,0.3486,0.0122,0.84581,0.78742,0.84173,0.6404,0.84049,1.02181,0.02177,0.002661,0.000887,0.002661,0.000887,0.002661,0.000887,0.002661,0.000887
90,33446.8,0.46988,0.34912,0.01266,0.88016,0.75453,0.84368,0.63782,0.87775,1.12778,0.02291,0.00264862,0.000882875,0.00264862,0.000882875,0.00264862,0.000882875,0.00264862,0.000882875
91,33789.5,0.46555,0.33638,0.01249,0.80561,0.80553,0.83158,0.62562,0.87306,1.20418,0.02307,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
92,34128.9,0.45918,0.35461,0.01211,0.83069,0.77085,0.83906,0.62453,0.86806,1.10902,0.02292,0.00262387,0.000874625,0.00262387,0.000874625,0.00262387,0.000874625,0.00262387,0.000874625
93,34472.5,0.44939,0.34943,0.01218,0.8273,0.81479,0.86878,0.63997,0.87428,1.04122,0.02301,0.0026115,0.0008705,0.0026115,0.0008705,0.0026115,0.0008705,0.0026115,0.0008705
94,34810.4,0.45607,0.34492,0.01208,0.83606,0.78776,0.85295,0.63956,0.874,1.0162,0.02277,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375
95,35148.9,0.45108,0.32859,0.01211,0.81762,0.80245,0.85571,0.64409,0.862,1.06274,0.0226,0.00258675,0.00086225,0.00258675,0.00086225,0.00258675,0.00086225,0.00258675,0.00086225
96,35491.9,0.46509,0.34001,0.01237,0.82421,0.80968,0.85153,0.63395,0.87908,1.09379,0.02318,0.00257437,0.000858125,0.00257437,0.000858125,0.00257437,0.000858125,0.00257437,0.000858125
97,35832.3,0.45505,0.32267,0.01218,0.83657,0.83722,0.85501,0.63211,0.87987,1.08809,0.0233,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
98,36167.4,0.44413,0.33256,0.01195,0.81871,0.80307,0.82064,0.61684,0.86487,1.13077,0.02266,0.00254963,0.000849875,0.00254963,0.000849875,0.00254963,0.000849875,0.00254963,0.000849875
99,36507,0.44331,0.33242,0.01167,0.81409,0.82259,0.83745,0.62742,0.85016,1.20173,0.02203,0.00253725,0.00084575,0.00253725,0.00084575,0.00253725,0.00084575,0.00253725,0.00084575
