epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
91,34268.4,0.75218,0.4722,0.02138,0.98446,0.97442,0.99405,0.77807,0.82533,0.33178,0.02205,0.001406,0.001406,0.001406
92,34644.7,0.7366,0.45334,0.02073,0.99187,0.98974,0.99465,0.76941,0.82958,0.35076,0.0223,0.0013994,0.0013994,0.0013994
93,35023.2,0.75319,0.46111,0.02107,0.96115,0.96923,0.99199,0.75556,0.87378,0.39021,0.02392,0.0013928,0.0013928,0.0013928
94,35399.9,0.76442,0.46087,0.02125,0.96448,0.97461,0.99099,0.77225,0.82272,0.32604,0.02211,0.0013862,0.0013862,0.0013862
95,35777.4,0.75835,0.45871,0.02114,0.97307,0.97692,0.9933,0.75905,0.91432,0.34643,0.02467,0.0013796,0.0013796,0.0013796
96,36153,0.74948,0.45184,0.02123,0.98717,0.98643,0.99437,0.78415,0.81883,0.29488,0.02196,0.001373,0.001373,0.001373
97,36530.2,0.72912,0.45235,0.02092,0.96736,0.97179,0.99226,0.77471,0.81873,0.3419,0.02144,0.0013664,0.0013664,0.0013664
98,36907.4,0.75593,0.45416,0.02105,0.97891,0.95231,0.99023,0.77614,0.8116,0.35408,0.02163,0.0013598,0.0013598,0.0013598
99,37282,0.75391,0.46054,0.02102,0.97927,0.96897,0.99206,0.77233,0.87406,0.34671,0.02338,0.0013532,0.0013532,0.0013532
100,37657.6,0.7288,0.461,0.02054,0.97896,0.97692,0.99264,0.7852,0.79548,0.34997,0.02089,0.0013466,0.0013466,0.0013466
101,38026.7,0.73764,0.43711,0.02062,0.98689,0.96538,0.99327,0.7696,0.87623,0.34328,0.02338,0.00134,0.00134,0.00134
102,38417.9,0.73878,0.43985,0.0209,0.99216,0.9734,0.99439,0.77572,0.79025,0.3047,0.021,0.0013334,0.0013334,0.0013334
103,38804.9,0.71121,0.43548,0.01952,0.97684,0.97319,0.99291,0.77044,0.78988,0.3323,0.0206,0.0013268,0.0013268,0.0013268
104,39193.5,0.71275,0.44241,0.02005,0.98198,0.97782,0.99347,0.77988,0.784,0.33111,0.02046,0.0013202,0.0013202,0.0013202
105,39582.1,0.70517,0.43574,0.01941,0.98174,0.96491,0.99341,0.79128,0.78892,0.34432,0.0211,0.0013136,0.0013136,0.0013136
106,39970.6,0.72789,0.42416,0.0204,0.97467,0.98648,0.99306,0.77954,0.81651,0.34106,0.02147,0.001307,0.001307,0.001307
107,40359.3,0.70456,0.43526,0.01947,0.97157,0.96372,0.99075,0.78283,0.79718,0.3428,0.02127,0.0013004,0.0013004,0.0013004
108,40746.6,0.72146,0.44981,0.01999,0.96482,0.98437,0.9924,0.77732,0.79929,0.32105,0.0209,0.0012938,0.0012938,0.0012938
109,41134.7,0.69827,0.42119,0.01938,0.97204,0.96923,0.992,0.78136,0.80966,0.32789,0.02133,0.0012872,0.0012872,0.0012872
110,41521.6,0.70701,0.41317,0.01953,0.98223,0.99216,0.99464,0.78324,0.7881,0.32748,0.02078,0.0012806,0.0012806,0.0012806
111,41909,0.696,0.40394,0.01955,0.97395,0.95882,0.99145,0.76283,0.81281,0.36917,0.02182,0.001274,0.001274,0.001274
112,42296.3,0.68663,0.41197,0.01909,0.97939,0.97692,0.99317,0.79259,0.7821,0.33148,0.0204,0.0012674,0.0012674,0.0012674
113,42684,0.71286,0.41848,0.01975,0.97685,0.97361,0.99353,0.78422,0.80351,0.30905,0.0213,0.0012608,0.0012608,0.0012608
114,43072.3,0.7162,0.41545,0.01989,0.99202,0.95573,0.99286,0.77556,0.78839,0.34127,0.0208,0.0012542,0.0012542,0.0012542
115,43460.7,0.69381,0.41078,0.01948,0.98445,0.97393,0.99289,0.77679,0.79426,0.33704,0.02093,0.0012476,0.0012476,0.0012476
116,43848.2,0.69512,0.41563,0.01927,0.9819,0.97692,0.99313,0.78662,0.78391,0.32441,0.02086,0.001241,0.001241,0.001241
117,44234.6,0.69015,0.41371,0.01933,0.98969,0.98437,0.99459,0.79049,0.80679,0.32452,0.02141,0.0012344,0.0012344,0.0012344
118,44623.3,0.67562,0.3903,0.01861,0.97926,0.96845,0.99327,0.78225,0.7915,0.33397,0.02089,0.0012278,0.0012278,0.0012278
119,45012.8,0.69388,0.40917,0.01933,0.98382,0.97692,0.99397,0.7864,0.78098,0.33436,0.0206,0.0012212,0.0012212,0.0012212
